elapsed time,timestamp,topic,value
20.315,1784035644.236000000,/ekf/latency_ms.data,1.124
20.506,1784035644.427000000,/ekf/latency_ms.data,0.923
20.702,1784035644.623000000,/ekf/latency_ms.data,4.26
20.873,1784035644.794000000,/ekf/latency_ms.data,1.089
21.05,1784035644.971000000,/ekf/latency_ms.data,0.979
21.217,1784035645.138000000,/ekf/latency_ms.data,0.791
21.415,1784035645.336000000,/ekf/latency_ms.data,1.493
21.581,1784035645.502000000,/ekf/latency_ms.data,0.978
21.778,1784035645.699000000,/ekf/latency_ms.data,3.121
21.975,1784035645.896000000,/ekf/latency_ms.data,1.202
22.15,1784035646.071000000,/ekf/latency_ms.data,0.929
22.309,1784035646.230000000,/ekf/latency_ms.data,1.328
22.5,1784035646.421000000,/ekf/latency_ms.data,0.997
22.675,1784035646.596000000,/ekf/latency_ms.data,1.79
22.858,1784035646.779000000,/ekf/latency_ms.data,1.797
23.048,1784035646.969000000,/ekf/latency_ms.data,1.469
23.24,1784035647.161000000,/ekf/latency_ms.data,1.101
23.418,1784035647.339000000,/ekf/latency_ms.data,3.603
23.588,1784035647.509000000,/ekf/latency_ms.data,1.416
23.77,1784035647.691000000,/ekf/latency_ms.data,1.197
23.943,1784035647.864000000,/ekf/latency_ms.data,1.124
24.144,1784035648.065000000,/ekf/latency_ms.data,1.225
24.332,1784035648.253000000,/ekf/latency_ms.data,1.968
24.507,1784035648.428000000,/ekf/latency_ms.data,1.244
24.673000000000002,1784035648.594000000,/ekf/latency_ms.data,1.162
24.859,1784035648.780000000,/ekf/latency_ms.data,1.332
25.049,1784035648.970000000,/ekf/latency_ms.data,1.278
25.264,1784035649.185000000,/ekf/latency_ms.data,3.617
25.44,1784035649.361000000,/ekf/latency_ms.data,1.234
25.593,1784035649.514000000,/ekf/latency_ms.data,2.407
25.767,1784035649.688000000,/ekf/latency_ms.data,1.237
25.964,1784035649.885000000,/ekf/latency_ms.data,1.784
26.138,1784035650.059000000,/ekf/latency_ms.data,1.701
26.33,1784035650.251000000,/ekf/latency_ms.data,2.54
26.504,1784035650.425000000,/ekf/latency_ms.data,1.352
26.694,1784035650.615000000,/ekf/latency_ms.data,3.148
26.857,1784035650.778000000,/ekf/latency_ms.data,1.265
27.057,1784035650.978000000,/ekf/latency_ms.data,1.246
27.227,1784035651.148000000,/ekf/latency_ms.data,2.123
27.405,1784035651.326000000,/ekf/latency_ms.data,4.067
27.601,1784035651.522000000,/ekf/latency_ms.data,3.306
