elapsed time,timestamp,topic,value
2.625,1783987570.290000000,/ekf/error.y,0.08441945930621397
2.646,1783987570.311000000,/ekf/error.y,0.07444679859444336
2.646,1783987570.311000000,/ekf/error.y,0.06658760772116867
2.646,1783987570.311000000,/ekf/error.y,0.07595516954066217
2.646,1783987570.311000000,/ekf/error.y,0.10724285596401639
2.6550000000000002,1783987570.320000000,/ekf/error.y,0.10807899656327424
2.6550000000000002,1783987570.320000000,/ekf/error.y,0.10894536520246945
2.676,1783987570.341000000,/ekf/error.y,0.10980785105525603
2.692,1783987570.357000000,/ekf/error.y,0.11066797230694414
2.692,1783987570.357000000,/ekf/error.y,0.11153317645576122
2.7,1783987570.365000000,/ekf/error.y,0.11242023241406285
2.7,1783987570.365000000,/ekf/error.y,0.11330170882249102
2.722,1783987570.387000000,/ekf/error.y,0.11413585703389795
2.741,1783987570.406000000,/ekf/error.y,0.11500483672149708
2.741,1783987570.406000000,/ekf/error.y,0.1158776274274953
2.7640000000000002,1783987570.429000000,/ekf/error.y,0.11675441334900816
2.7640000000000002,1783987570.429000000,/ekf/error.y,0.11762081620741593
2.776,1783987570.441000000,/ekf/error.y,0.11847741284006874
2.776,1783987570.441000000,/ekf/error.y,0.11935922393699405
2.802,1783987570.467000000,/ekf/error.y,0.01437358608586603
2.819,1783987570.484000000,/ekf/error.y,0.005029086503755442
2.839,1783987570.504000000,/ekf/error.y,-0.006633743547275195
2.839,1783987570.504000000,/ekf/error.y,-0.01604411434627795
2.839,1783987570.504000000,/ekf/error.y,-0.02774444046545077
2.839,1783987570.504000000,/ekf/error.y,-0.03718898812876259
2.842,1783987570.507000000,/ekf/error.y,-0.007607165257855986
2.842,1783987570.507000000,/ekf/error.y,0.024605497810514576
2.862,1783987570.527000000,/ekf/error.y,0.024430529014557
2.862,1783987570.527000000,/ekf/error.y,0.02424277712613332
2.884,1783987570.549000000,/ekf/error.y,0.02408999548597124
2.8890000000000002,1783987570.554000000,/ekf/error.y,0.02398958805224538
2.902,1783987570.567000000,/ekf/error.y,0.02384251499417811
2.909,1783987570.574000000,/ekf/error.y,0.023622226157993698
2.91,1783987570.575000000,/ekf/error.y,0.02336137879081357
2.924,1783987570.589000000,/ekf/error.y,0.02313459923293615
2.931,1783987570.596000000,/ekf/error.y,0.02292907498469199
2.951,1783987570.616000000,/ekf/error.y,0.022722478417519065
2.951,1783987570.616000000,/ekf/error.y,0.022515762669591988
2.964,1783987570.629000000,/ekf/error.y,0.022309091696906425
2.988,1783987570.653000000,/ekf/error.y,-0.03056677502631633
2.9930000000000003,1783987570.658000000,/ekf/error.y,-0.040839597674592776
3.007,1783987570.672000000,/ekf/error.y,-0.05351501570318673
3.007,1783987570.672000000,/ekf/error.y,-0.06381983560715931
3.013,1783987570.678000000,/ekf/error.y,-0.059740769794600634
3.028,1783987570.693000000,/ekf/error.y,-0.03874781626795576
3.036,1783987570.701000000,/ekf/error.y,-0.02245711542217199
3.036,1783987570.701000000,/ekf/error.y,-0.0231105193370702
3.059,1783987570.724000000,/ekf/error.y,-0.023740540205986704
3.059,1783987570.724000000,/ekf/error.y,-0.024373447084049316
3.072,1783987570.737000000,/ekf/error.y,-0.02499840454772495
3.078,1783987570.743000000,/ekf/error.y,-0.025594403985307768
3.09,1783987570.755000000,/ekf/error.y,-0.026233577341798986
3.096,1783987570.761000000,/ekf/error.y,-0.02688879722715498
3.108,1783987570.773000000,/ekf/error.y,-0.02757240651376769
3.114,1783987570.779000000,/ekf/error.y,-0.028194988320343617
3.138,1783987570.803000000,/ekf/error.y,-0.028818537535783673
3.138,1783987570.803000000,/ekf/error.y,-0.02944515939570902
3.158,1783987570.823000000,/ekf/error.y,-0.030073495923642835
3.173,1783987570.838000000,/ekf/error.y,-0.030624514576969464
3.177,1783987570.842000000,/ekf/error.y,-0.03773617645070515
3.179,1783987570.844000000,/ekf/error.y,-0.04865990004574816
3.205,1783987570.870000000,/ekf/error.y,-0.06225769254686431
3.205,1783987570.870000000,/ekf/error.y,-0.0735174394683542
3.205,1783987570.870000000,/ekf/error.y,-0.07989814937596429
3.221,1783987570.886000000,/ekf/error.y,-0.03911984899425658
3.227,1783987570.892000000,/ekf/error.y,-0.02887976720053742
3.227,1783987570.892000000,/ekf/error.y,-0.029504808580570252
3.247,1783987570.912000000,/ekf/error.y,-0.030131335822149552
3.248,1783987570.913000000,/ekf/error.y,-0.03075681092683169
3.267,1783987570.932000000,/ekf/error.y,-0.03138231254610546
3.268,1783987570.933000000,/ekf/error.y,-0.032009930076073445
3.2880000000000003,1783987570.953000000,/ekf/error.y,-0.0326417880083083
3.2880000000000003,1783987570.953000000,/ekf/error.y,-0.03326978334329311
