elapsed time,timestamp,topic,value
21.139,1783987588.804000000,/ekf/latency_ms.data,0.89
21.332,1783987588.997000000,/ekf/latency_ms.data,5.188
21.527,1783987589.192000000,/ekf/latency_ms.data,0.565
21.701,1783987589.366000000,/ekf/latency_ms.data,0.569
21.904,1783987589.569000000,/ekf/latency_ms.data,0.531
22.098,1783987589.763000000,/ekf/latency_ms.data,0.533
22.316,1783987589.981000000,/ekf/latency_ms.data,2.228
22.499,1783987590.164000000,/ekf/latency_ms.data,0.552
22.734,1783987590.399000000,/ekf/latency_ms.data,1.265
22.899,1783987590.564000000,/ekf/latency_ms.data,0.558
23.08,1783987590.745000000,/ekf/latency_ms.data,0.633
23.255,1783987590.920000000,/ekf/latency_ms.data,0.545
23.48,1783987591.145000000,/ekf/latency_ms.data,1.753
23.634,1783987591.299000000,/ekf/latency_ms.data,1.565
23.861,1783987591.526000000,/ekf/latency_ms.data,0.479
24.034,1783987591.699000000,/ekf/latency_ms.data,0.511
24.221,1783987591.886000000,/ekf/latency_ms.data,0.542
24.433,1783987592.098000000,/ekf/latency_ms.data,0.754
24.627,1783987592.292000000,/ekf/latency_ms.data,1.257
24.84,1783987592.505000000,/ekf/latency_ms.data,0.717
24.987000000000002,1783987592.652000000,/ekf/latency_ms.data,0.679
25.207,1783987592.872000000,/ekf/latency_ms.data,0.621
25.364,1783987593.029000000,/ekf/latency_ms.data,0.583
25.599,1783987593.264000000,/ekf/latency_ms.data,0.552
25.852,1783987593.517000000,/ekf/latency_ms.data,0.684
25.974,1783987593.639000000,/ekf/latency_ms.data,1.312
26.17,1783987593.835000000,/ekf/latency_ms.data,0.847
26.369,1783987594.034000000,/ekf/latency_ms.data,0.766
26.566,1783987594.231000000,/ekf/latency_ms.data,2.783
26.791,1783987594.456000000,/ekf/latency_ms.data,0.671
26.933,1783987594.598000000,/ekf/latency_ms.data,0.846
27.116,1783987594.781000000,/ekf/latency_ms.data,1.265
27.317,1783987594.982000000,/ekf/latency_ms.data,0.721
27.533,1783987595.198000000,/ekf/latency_ms.data,0.897
27.74,1783987595.405000000,/ekf/latency_ms.data,3.122
27.946,1783987595.611000000,/ekf/latency_ms.data,0.821
28.089,1783987595.754000000,/ekf/latency_ms.data,0.901
28.298000000000002,1783987595.963000000,/ekf/latency_ms.data,2.102
28.484,1783987596.149000000,/ekf/latency_ms.data,0.917
28.754,1783987596.419000000,/ekf/latency_ms.data,4.04
28.898,1783987596.563000000,/ekf/latency_ms.data,1.035
29.072,1783987596.737000000,/ekf/latency_ms.data,2.934
