elapsed time,timestamp,topic,value
2.625,1783987570.290000000,/ekf/error.z,-0.12592244954995382
2.646,1783987570.311000000,/ekf/error.z,-0.20621674239427482
2.646,1783987570.311000000,/ekf/error.z,-0.26921123208557723
2.646,1783987570.311000000,/ekf/error.z,-0.2085875511946722
2.646,1783987570.311000000,/ekf/error.z,-0.010613805892522912
2.6550000000000002,1783987570.320000000,/ekf/error.z,-0.017090279250709856
2.6550000000000002,1783987570.320000000,/ekf/error.z,-0.022638382425792362
2.676,1783987570.341000000,/ekf/error.z,-0.028241308829113666
2.692,1783987570.357000000,/ekf/error.z,-0.03389058175597045
2.692,1783987570.357000000,/ekf/error.z,-0.03921106843898273
2.7,1783987570.365000000,/ekf/error.z,-0.04408614026313208
2.7,1783987570.365000000,/ekf/error.z,-0.04915701809343458
2.722,1783987570.387000000,/ekf/error.z,-0.056338626021394035
2.741,1783987570.406000000,/ekf/error.z,-0.06216380266681056
2.741,1783987570.406000000,/ekf/error.z,-0.06799387333623165
2.7640000000000002,1783987570.429000000,/ekf/error.z,-0.07380806458389065
2.7640000000000002,1783987570.429000000,/ekf/error.z,-0.08056131928521326
2.776,1783987570.441000000,/ekf/error.z,-0.08621038876214578
2.776,1783987570.441000000,/ekf/error.z,-0.09190612098424725
2.802,1783987570.467000000,/ekf/error.z,0.0993633733459799
2.819,1783987570.484000000,/ekf/error.z,0.06642234313659888
2.839,1783987570.504000000,/ekf/error.z,0.025704348095768027
2.839,1783987570.504000000,/ekf/error.z,-0.0030539886820269316
2.839,1783987570.504000000,/ekf/error.z,-0.03914902073676257
2.839,1783987570.504000000,/ekf/error.z,-0.06463442959132423
2.842,1783987570.507000000,/ekf/error.z,0.053417100306078436
2.842,1783987570.507000000,/ekf/error.z,0.15707773610866657
2.862,1783987570.527000000,/ekf/error.z,0.1586155062885122
2.862,1783987570.527000000,/ekf/error.z,0.16006727527487086
2.884,1783987570.549000000,/ekf/error.z,0.16256023408754092
2.8890000000000002,1783987570.554000000,/ekf/error.z,0.16691720677112612
2.902,1783987570.567000000,/ekf/error.z,0.16860628577409342
2.909,1783987570.574000000,/ekf/error.z,0.1696011592752119
2.91,1783987570.575000000,/ekf/error.z,0.16979157275780743
2.924,1783987570.589000000,/ekf/error.z,0.17105731055181678
2.931,1783987570.596000000,/ekf/error.z,0.1730729514266356
2.951,1783987570.616000000,/ekf/error.z,0.17506511167953973
2.951,1783987570.616000000,/ekf/error.z,0.17703623972259097
2.964,1783987570.629000000,/ekf/error.z,0.17899330742421157
2.988,1783987570.653000000,/ekf/error.z,0.16769435167698415
2.9930000000000003,1783987570.658000000,/ekf/error.z,0.1615285768864842
3.007,1783987570.672000000,/ekf/error.z,0.15478755031536617
3.007,1783987570.672000000,/ekf/error.z,0.15222561767262516
3.013,1783987570.678000000,/ekf/error.z,0.16623982252067016
3.028,1783987570.693000000,/ekf/error.z,0.18959966755034646
3.036,1783987570.701000000,/ekf/error.z,0.20065213342452537
3.036,1783987570.701000000,/ekf/error.z,0.20426184612392015
3.059,1783987570.724000000,/ekf/error.z,0.20782849220193933
3.059,1783987570.724000000,/ekf/error.z,0.21136142512272807
3.072,1783987570.737000000,/ekf/error.z,0.21552392495014075
3.078,1783987570.743000000,/ekf/error.z,0.2201575855617856
3.09,1783987570.755000000,/ekf/error.z,0.2234323371121918
3.096,1783987570.761000000,/ekf/error.z,0.22532818826071896
3.108,1783987570.773000000,/ekf/error.z,0.22818827351126822
3.114,1783987570.779000000,/ekf/error.z,0.2317974853366287
3.138,1783987570.803000000,/ekf/error.z,0.2353904791937332
3.138,1783987570.803000000,/ekf/error.z,0.23870200424061339
3.158,1783987570.823000000,/ekf/error.z,0.24269021300318927
3.173,1783987570.838000000,/ekf/error.z,0.2490341717684388
3.177,1783987570.842000000,/ekf/error.z,0.4472901219048729
3.179,1783987570.844000000,/ekf/error.z,0.45226855392700865
3.205,1783987570.870000000,/ekf/error.z,0.4498149730565519
3.205,1783987570.870000000,/ekf/error.z,0.4366542307790271
3.205,1783987570.870000000,/ekf/error.z,0.41273596198605916
3.221,1783987570.886000000,/ekf/error.z,0.4643369651368545
3.227,1783987570.892000000,/ekf/error.z,0.5148843087492787
